language,typology,PMI,DD
English,SVO,-0.6479568852597295,3
English,SVO,2.7658646188360727,2
English,SVO,1.718286387606836,1
English,SVO,1.8354086888225414,4
English,SVO,0.8307060285396294,1
English,SVO,3.369466262285127,1
English,SVO,2.330910237161514,2
English,SVO,-0.10347979687407126,1
English,SVO,2.7628604502476923,19
English,SVO,3.7678343765381976,1
English,SVO,4.516698265896221,2
English,SVO,3.3062369635739013,1
English,SVO,1.7697468358329318,8
English,SVO,1.7490922629859775,1
English,SVO,2.6874731447223117,2
English,SVO,2.7527967669029945,1
English,SVO,2.2350962836189647,2
English,SVO,5.34227045149705,1
English,SVO,5.518210288967235,3
English,SVO,2.7658646188360727,1
English,SVO,1.6595941121468747,1
English,SVO,3.345887536464647,1
English,SVO,3.345887536464647,5
English,SVO,3.7343774124100717,3
English,SVO,2.7658646188360727,1
English,SVO,6.19679550885696,1
English,SVO,4.087792713723435,1
English,SVO,4.144683423390101,2
English,SVO,9.659267783327856,1
English,SVO,2.2350962836189647,2
English,SVO,6.997622280109603,1
English,SVO,5.518210288967235,3
English,SVO,2.7628604502476923,9
English,SVO,4.516698265896221,4
English,SVO,1.7697468358329318,2
English,SVO,3.9910030358928537,1
English,SVO,3.1006004900240556,2
English,SVO,3.1516611104443313,1
English,SVO,1.7490922629859775,1
English,SVO,3.2375057216928407,1
English,SVO,2.8307060285396295,1
English,SVO,3.658972879480112,1
English,SVO,2.3225591248693043,1
English,SVO,0.6598400730005909,3
English,SVO,3.5064482588882018,1
English,SVO,3.13451302435801,2
English,SVO,3.369466262285127,1
English,SVO,2.7162003930463055,1
English,SVO,0.8249669421008947,1
English,SVO,3.2375057216928407,1
English,SVO,3.1523905352875974,1
English,SVO,3.1006004900240556,2
English,SVO,3.1516611104443313,1
English,SVO,0.3385036215741302,1
English,SVO,0.5912400938442399,1
English,SVO,1.1300003275897375,1
English,SVO,2.166640981420871,1
English,SVO,2.6104327657838766,2
English,SVO,4.897161508318246,6
English,SVO,1.7635918326810922,2
English,SVO,2.231962738535192,1
English,SVO,1.3152032098265078,1
English,SVO,2.6104327657838766,2
English,SVO,-0.4959537918146793,2
English,SVO,2.166640981420871,1
English,SVO,-1.302637905676519,1
English,SVO,1.1837088508181397,12
English,SVO,1.3859211858667335,1
English,SVO,1.7938295850711423,3
English,SVO,8.481352816618946,1
English,SVO,3.180420396822945,1
English,SVO,1.5949039721015539,1
English,SVO,3.921305859788997,2
English,SVO,2.166640981420871,1
English,SVO,2.028899024669866,1
English,SVO,0.09447055935841565,3
English,SVO,2.562331224750941,1
English,SVO,1.7537949232688894,2
English,SVO,2.115987902115605,1
English,SVO,2.166640981420871,2
English,SVO,2.7628604502476923,30
English,SVO,2.062031574646085,1
English,SVO,4.602882195063987,1
English,SVO,2.166640981420871,1
English,SVO,4.516698265896221,7
English,SVO,1.5949039721015539,1
English,SVO,6.19679550885696,1
English,SVO,1.4329465206926213,2
English,SVO,-0.406050981588505,6
English,SVO,-1.3804621528190695,4
English,SVO,0.3168335854352867,13
English,SVO,1.9975434905722182,1
English,SVO,8.481352816618946,1
English,SVO,0.8759352825326273,1
English,SVO,3.1516611104443313,1
English,SVO,3.9910030358928537,1
English,SVO,1.3851946104219026,1
English,SVO,2.294769209844247,1
English,SVO,-0.8969696358480127,32
English,SVO,8.481352816618946,1
English,SVO,2.4343504751195124,2
English,SVO,2.327261785152216,1
English,SVO,3.674951812633638,1
English,SVO,2.231962738535192,1
English,SVO,2.166640981420871,2
English,SVO,2.6104327657838766,3
English,SVO,1.003868010577509,10
English,SVO,5.066393805300086,1
English,SVO,-1.9762303742299605,2
English,SVO,2.9266437363468794,1
English,SVO,3.0561967806949832,1
English,SVO,2.7617836850638873,1
English,SVO,2.6886870236672014,2
English,SVO,4.41386038164358,1
English,SVO,5.0267283489634424,1
English,SVO,0.8307060285396294,2
English,SVO,3.13451302435801,3
English,SVO,2.6886870236672014,1
English,SVO,9.659267783327856,1
English,SVO,2.5152042028117,2
English,SVO,2.330910237161514,2
English,SVO,2.8786405056033315,1
